Date,Open,High,Low,Close,Adj Close,Volume
10/07/2018,190.710007,191.279999,190.179993,190.350006,189.025208,15939100
11/07/2018,188.5,189.779999,187.610001,187.880005,186.572403,18831500
12/07/2018,189.529999,191.410004,189.309998,191.029999,189.700485,18041100
13/07/2018,191.080002,191.839996,190.899994,191.330002,189.998398,12513900
16/07/2018,191.520004,192.649994,190.419998,190.910004,189.581314,15043100
17/07/2018,189.75,191.869995,189.199997,191.449997,190.117554,15534500
18/07/2018,191.779999,191.800003,189.929993,190.399994,189.07486,16393400
19/07/2018,189.690002,192.550003,189.690002,191.880005,190.544571,20286800
20/07/2018,191.779999,192.429993,190.169998,191.440002,190.107635,20676200
23/07/2018,190.679993,191.960007,189.559998,191.610001,190.276443,15989400
24/07/2018,192.449997,193.660004,192.050003,193,191.656769,18697900
25/07/2018,193.059998,194.850006,192.429993,194.820007,193.464111,16709900
26/07/2018,194.610001,195.960007,193.610001,194.210007,192.858353,19076000
27/07/2018,194.990005,195.190002,190.100006,190.979996,189.650818,24024000
30/07/2018,191.899994,192.199997,189.070007,189.910004,188.588272,21029500
31/07/2018,190.300003,192.139999,189.339996,190.289993,188.965622,39373000
01/08/2018,199.130005,201.759995,197.309998,201.5,200.09761,67935700
02/08/2018,200.580002,208.380005,200.350006,207.389999,205.946625,62404000
03/08/2018,207.029999,208.740005,205.479996,207.990005,206.54245,33447400
06/08/2018,208,209.25,207.070007,209.070007,207.614929,25425400
07/08/2018,209.320007,209.5,206.759995,207.110001,205.668579,25587400
08/08/2018,206.050003,207.809998,204.520004,207.25,205.807602,22525500
09/08/2018,209.529999,209.779999,207.199997,208.880005,207.426254,23492600
10/08/2018,207.360001,209.100006,206.669998,207.529999,206.808411,24611200
13/08/2018,209.309998,210.949997,207.699997,208.869995,208.143753,25890900
14/08/2018,210.160004,210.559998,208.259995,209.75,209.020691,20748000
15/08/2018,209.220001,210.740005,208.330002,210.240005,209.508987,28807600
16/08/2018,211.75,213.809998,211.470001,213.320007,212.578293,28500400
17/08/2018,213.440002,217.949997,213.160004,217.580002,216.823471,35427000
20/08/2018,218.100006,219.179993,215.110001,215.460007,214.710846,30287700
21/08/2018,216.800003,217.190002,214.029999,215.039993,214.292297,26159800
22/08/2018,214.100006,216.360001,213.839996,215.050003,214.302261,19018100
23/08/2018,214.649994,217.050003,214.600006,215.490005,214.740738,18883200
24/08/2018,216.600006,216.899994,215.110001,216.160004,215.408401,18476400
27/08/2018,217.149994,218.740005,216.330002,217.940002,217.18222,20525100
28/08/2018,219.009995,220.539993,218.919998,219.699997,218.936096,22776800
29/08/2018,220.149994,223.490005,219.410004,222.979996,222.204681,27254800
30/08/2018,223.25,228.259995,222.399994,225.029999,224.247559,48793800
31/08/2018,226.509995,228.869995,226,227.630005,226.838531,43340100
04/09/2018,228.410004,229.179993,226.630005,228.360001,227.565979,27390100
05/09/2018,228.990005,229.669998,225.100006,226.869995,226.081161,33333000
06/09/2018,226.229996,227.350006,221.300003,223.100006,222.32428,34290000
07/09/2018,221.850006,225.369995,220.710007,221.300003,220.530533,37619800
10/09/2018,220.949997,221.850006,216.470001,218.330002,217.570862,39516500
11/09/2018,218.009995,224.300003,216.559998,223.850006,223.071671,35749000
12/09/2018,224.940002,225,219.839996,221.070007,220.301346,49278700
13/09/2018,223.520004,228.350006,222.570007,226.410004,225.622772,41706400
14/09/2018,225.75,226.839996,222.520004,223.839996,223.061691,31999300
17/09/2018,222.149994,222.949997,217.270004,217.880005,217.122421,37195100
18/09/2018,217.789993,221.850006,217.119995,218.240005,217.481171,31571700
19/09/2018,218.5,219.619995,215.300003,218.369995,217.610718,27123800
20/09/2018,220.240005,222.279999,219.149994,220.029999,219.264954,26608800
21/09/2018,220.779999,221.360001,217.289993,217.660004,216.903198,96246700
24/09/2018,216.820007,221.259995,216.630005,220.789993,220.022293,27693400
25/09/2018,219.75,222.820007,219.699997,222.190002,221.417435,24554400
26/09/2018,221,223.75,219.759995,220.419998,219.653595,23984700
27/09/2018,223.820007,226.440002,223.539993,224.949997,224.167831,30181200
28/09/2018,224.789993,225.839996,224.020004,225.740005,224.955093,22929400
01/10/2018,227.949997,229.419998,226.350006,227.259995,226.469803,23600800
02/10/2018,227.25,230,226.630005,229.279999,228.482788,24788200
03/10/2018,230.050003,233.470001,229.779999,232.070007,231.263092,28654800
04/10/2018,230.779999,232.350006,226.729996,227.990005,227.197281,32042000
05/10/2018,227.960007,228.410004,220.580002,224.289993,223.510132,33580500
08/10/2018,222.210007,224.800003,220.199997,223.770004,222.991943,29663900
09/10/2018,223.639999,227.270004,222.25,226.869995,226.081161,26891000
10/10/2018,225.460007,226.350006,216.050003,216.360001,215.607712,41990600
11/10/2018,214.520004,219.5,212.320007,214.449997,213.704346,53124400
12/10/2018,220.419998,222.880005,216.839996,222.110001,221.337723,40337900
15/10/2018,221.160004,221.830002,217.270004,217.360001,216.604233,30791000
16/10/2018,218.929993,222.990005,216.759995,222.149994,221.377563,29184000
17/10/2018,222.300003,222.639999,219.339996,221.190002,220.420914,22885400
18/10/2018,217.860001,219.740005,213,216.020004,215.26889,32581300
19/10/2018,218.059998,221.259995,217.429993,219.309998,218.547455,33078700
22/10/2018,219.789993,223.360001,218.940002,220.649994,219.882782,28792100
23/10/2018,215.830002,223.25,214.699997,222.729996,221.955551,38767800
24/10/2018,222.600006,224.229996,214.539993,215.089996,214.342117,40925500
25/10/2018,217.710007,221.380005,216.75,219.800003,219.035751,29855800
26/10/2018,215.899994,220.190002,212.669998,216.300003,215.547913,47258400
29/10/2018,219.190002,219.690002,206.089996,212.240005,211.502045,45935500
30/10/2018,211.149994,215.179993,209.270004,213.300003,212.55835,36660000
31/10/2018,216.880005,220.449997,216.619995,218.860001,218.099014,38358900
